Order ID,First_Name,Last_Name,gender,Age,City,State,Country,Previous_Finishes,Volunteer_Shifts,Extra_Trailwork
1018994,Lori,Foringer,F,46,Centerville,OH,USA,0,1,0
1019320,Chris,Grove,F,44,Colorado Springs,CO,USA,0,0,0
1021376,Natalie,Nicholson,F,37,salida,CO,USA,0,1,0
1023366,Courtney,Foley,F,43,Salt Lake City,UT,USA,0,0,0
1025671,Silke,Koester,F,36,Boulder,CO,USA,0,0,0
1042975,Kylie,Collins,F,30,Almont,CO,USA,0,0,0
1043873,Sonja,Hinish,F,33,Golden,CO,USA,0,1,0
1054513,Meghan,Cogswell,F,40,Colorado Springs,CO,USA,0,0,0
1055280,Lauren,Groth,F,36,Boulder,CO,USA,0,0,0
1055431,Vale,Hirt,F,35,Ouray,CO,USA,0,0,0
1062350,Kerrie,Bruxvoort,F,42,Broomfield,CO,USA,1,1,0
1064897,Amanda,Morgenstern,F,31,Colorado Springs,CO,USA,0,0,0
1066704,Margot,Watters,F,53,Victor,ID,USA,0,0,0
1067128,Laura,Stamp,F,25,Boulder,CO,USA,0,0,0
1069647,Missy,Gosney,F,52,Durango,CO,USA,0,0,0
1071232,Sarah,Bunting Lamos,F,44,Thornton,CO,USA,0,0,0
1121796,Tiffany,Cap,F,40,Arvada,CO,USA,0,0,0
1126376,Heather,Jossi,F,42,Lakewood,CO,USA,1,2,0
1143036,Erica,Rackley,F,29,Frisco,CO,USA,0,0,0
1234567,Lynn,Hall,F,36,LEADVILLE,CO,USA,0,0,0
1016720,Suzanne,Ehler,F,36,Lakewood,CO,USA,0,0,0
1018612,Charity,Larson,F,44,Fort Collins,CO,USA,0,1,0
1019327,Megan,Sweeney,F,38,Leadville,CO,USA,0,0,0
1019515,Keira,McMahon,F,44,Nederland,CO,USA,0,0,0
1020479,Marianne,Osteen,F,59,Steamboat Springs,CO,USA,0,0,0
1023366,Sarah,Willis,F,39,Los Ranchos,NM,USA,0,0,0
1055431,Wanvipa,Ruangpradit,F,43,Buena Vista,CO,USA,0,0,0
1062032,Sandra,Carpenter,F,46,Conifer,CO,USA,0,0,0
1064583,Christina,Bauer,F,40,Flagstaff,AZ,USA,0,0,0
1066993,Meghan,Mulvaney,F,33,Denver,CO,USA,0,0,0
1067146,Keeton,Disser,F,42,Ouray,CO,USA,0,0,0
1071917,Salynda,Heinl,F,34,Aspen Park,CO,USA,0,0,0
1080645,Jittilak,Chaivann,F,44,Aurora,CO,USA,0,0,0
1082196,Stefanie,Flippin,F,30,Evergreen,CO,USA,0,0,0
1087340,Laura,Trimboli,F,33,Durango,CO,USA,0,0,0
1119535,Rhea,Loney,F,36,Ponchatoula,LA,USA,0,0,0
1121796,Amanda,Simpson,F,48,Golden,CO,USA,0,0,0
1143036,Autumn,Isleib,F,34,Leadville,CO,USA,0,0,0
1143638,Patty,Bryant,F,59,Santa Barbara,CA,USA,0,0,0
1234567,Petra,Pirc,F,47,Los Alamos,NM,USA,0,0,0
1019515,Tracey,Anderson,F,57,Colorado Springs,CO,USA,0,0,0
1022392,Jenny,Fox,F,39,Steamboat Springs,CO,USA,0,0,0
1025671,Logan,Boon,F,31,Denver,CO,USA,0,0,0
1033959,Sarah,Lavender Smith,F,50,Telluride,CO,USA,0,0,0
1042025,Courtney,Schwind,F,31,Glenwood Springs,CO,USA,0,0,0
1043727,Allison,Conover,F,40,Sandy,UT,USA,0,0,0
1048818,Katie,Katalin,F,49,Colorado Springs,CO,USA,0,0,0
1057104,Jenny,Bonner,F,31,Spartanburg,SC,USA,0,0,0
1062760,Phoebe,Erdman,F,30,Park City,UT,USA,0,0,0
1063142,Judith,Williams,F,57,New Carlisle,OH,USA,0,0,0
1064040,Marie,Donovan,F,41,Henderson,NV,USA,0,0,0
1064789,Randi,Schooley,F,36,Cypress,TX,USA,0,0,0
1064897,Brittany,Lane,F,30,Boulder,CO,USA,0,0,0
1066704,Suzanna,Bon,F,54,Sonoma,CA,USA,0,0,0
1067146,Deby,Kumasaka,F,55,Edmonds,WA,USA,0,0,0
1068246,Maggie,Edmiston,F,26,Grants,NM,USA,0,0,0
1071060,Lori,Barekman,F,58,Sonoma,CA,USA,0,0,0
1071232,Erin,Shaw,F,37,Louisville,CO,USA,0,0,0
1071235,Jennifer,Hughes,F,40,Roslyn,WA,USA,0,0,0
1080645,Alyssa,Gottshall,F,29,Aurora,CO,USA,0,0,0
1018612,Noelle,Whitestone,F,36,Denver,CO,USA,0,0,0
1019618,Sharon,Murillo,F,26,El paso,TX,USA,0,0,0
1020692,Christina,Bauer,F,40,Flagstaff,AZ,USA,0,0,0
1023366,Erin,Tripp,F,39,Jamestown,CO,USA,0,0,0
1030232,Ivy,Lefebvre,F,41,Silverton,CO,USA,1,0,0
1016350,Dave,Scheibel,M,43,Seattle,WA,USA,1,1,0
1016720,Andrew,Nichols,M,47,park city,UT,USA,0,0,0
1018612,Zachary,King,M,33,Boulder,CO,USA,0,5,0
1019327,Philip,Snyder,M,50,Denver,CO,USA,0,0,0
1019515,Will,Jorgensen,M,60,Maryville,TN,USA,0,0,0
